period,persona,shot_type,model,total_rows,valid_count,valid_rate,score_error_count,mean_token_count,mean_nll_all,mean_nll_valid,mean_perplexity_all,mean_perplexity_valid,mean_inverse_perplexity_all,mean_inverse_perplexity_valid,min_perplexity,max_inverse_perplexity
after,persona_1,few_shot,gemini,100,100,1.0,0,33.59,4.925592,4.925592,154.561991,154.561991,0.008004,0.008004,60.082171,0.016644
after,persona_1,few_shot,gpt5.5,100,100,1.0,0,65.93,4.353853,4.353853,82.82331,82.82331,0.013683,0.013683,39.412095,0.025373
after,persona_1,few_shot,llama4,100,100,1.0,0,39.76,4.893023,4.893023,162.598122,162.598122,0.008596,0.008596,54.843815,0.018234
after,persona_1,zero_shot,gemini,100,100,1.0,0,34.8,4.994255,4.994255,161.77522,161.77522,0.007383,0.007383,61.65956,0.016218
after,persona_1,zero_shot,gpt5.5,100,100,1.0,0,55.91,4.511343,4.511343,97.133956,97.133956,0.011727,0.011727,41.891287,0.023871
after,persona_1,zero_shot,llama4,100,100,1.0,0,53.75,4.417883,4.417883,88.174993,88.174993,0.01284,0.01284,29.893789,0.033452
after,persona_2,few_shot,gemini,100,100,1.0,0,34.35,5.213114,5.213114,203.081853,203.081853,0.005976,0.005976,56.12783,0.017816
after,persona_2,few_shot,gpt5.5,100,100,1.0,0,40.22,4.262239,4.262239,74.672452,74.672452,0.014718,0.014718,57.083583,0.017518
after,persona_2,few_shot,llama4,100,100,1.0,0,28.21,5.605645,5.605645,297.607014,297.607014,0.004008,0.004008,111.062967,0.009004
after,persona_2,zero_shot,gemini,100,100,1.0,0,35.28,5.305385,5.305385,221.15747,221.15747,0.005403,0.005403,76.587928,0.013057
after,persona_2,zero_shot,gpt5.5,100,100,1.0,0,33.08,4.785975,4.785975,132.854161,132.854161,0.009268,0.009268,61.057522,0.016378
after,persona_2,zero_shot,llama4,100,100,1.0,0,18.5,5.664123,5.664123,382.752354,382.752354,0.004658,0.004658,74.69272,0.013388
before,persona_1,few_shot,gemini,100,100,1.0,0,36.06,4.978795,4.978795,158.74985,158.74985,0.007516,0.007516,49.867511,0.020053
before,persona_1,few_shot,gpt5.5,100,100,1.0,0,83.8,4.450167,4.450167,90.298475,90.298475,0.012291,0.012291,38.008742,0.02631
before,persona_1,few_shot,llama4,100,100,1.0,0,38.27,5.076358,5.076358,199.846185,199.846185,0.007494,0.007494,56.75688,0.017619
before,persona_1,zero_shot,gemini,100,100,1.0,0,39.44,4.950275,4.950275,152.413287,152.413287,0.007658,0.007658,47.843245,0.020902
before,persona_1,zero_shot,gpt5.5,100,100,1.0,0,55.17,4.502147,4.502147,96.04937,96.04937,0.01187,0.01187,42.82548,0.023351
before,persona_1,zero_shot,llama4,100,100,1.0,0,52.08,4.529286,4.529286,96.054387,96.054387,0.011181,0.011181,50.255236,0.019898
before,persona_2,few_shot,gemini,100,100,1.0,0,38.17,5.176053,5.176053,191.830523,191.830523,0.006094,0.006094,72.474971,0.013798
before,persona_2,few_shot,gpt5.5,100,100,1.0,0,41.65,5.024865,5.024865,160.938277,160.938277,0.007047,0.007047,44.203114,0.022623
before,persona_2,few_shot,llama4,100,100,1.0,0,26.81,5.69982,5.69982,336.357795,336.357795,0.003788,0.003788,99.816878,0.010018
before,persona_2,zero_shot,gemini,100,100,1.0,0,38.14,5.176993,5.176993,192.04487,192.04487,0.006088,0.006088,72.474971,0.013798
before,persona_2,zero_shot,gpt5.5,100,100,1.0,0,38.23,5.291665,5.291665,211.658323,211.658323,0.005413,0.005413,79.870713,0.01252
before,persona_2,zero_shot,llama4,100,100,1.0,0,18.64,5.345142,5.345142,271.934671,271.934671,0.005945,0.005945,74.69272,0.013388
